iter	Passed	Remaining
432	1621	2871
433	1624	2867
434	1628	2863
435	1632	2859
436	1635	2856
437	1639	2852
438	1644	2850
439	1648	2847
440	1652	2843
441	1656	2841
442	1662	2840
443	1668	2840
444	1675	2842
445	1683	2845
446	1689	2846
447	1696	2846
448	1703	2848
449	1710	2850
450	1715	2849
451	1722	2850
452	1729	2852
453	1736	2852
454	1743	2854
455	1751	2857
456	1758	2858
457	1764	2858
458	1770	2858
459	1775	2857
460	1781	2856
461	1788	2857
462	1794	2856
463	1801	2857
464	1806	2855
465	1812	2854
466	1819	2855
467	1826	2857
468	1830	2853
469	1838	2855
470	1845	2856
471	1853	2859
472	1859	2858
473	1863	2854
474	1868	2851
475	1872	2847
476	1876	2844
477	1881	2841
478	1885	2837
479	1889	2834
480	1894	2831
481	1898	2827
482	1902	2824
483	1906	2820
484	1911	2817
485	1915	2813
486	1919	2809
487	1923	2806
488	1927	2802
489	1931	2799
490	1936	2795
491	1943	2796
492	1947	2793
493	1951	2789
494	1956	2786
495	1959	2781
496	1963	2777
497	1967	2773
498	1971	2769
499	1975	2765
500	1980	2762
501	1983	2758
502	1988	2755
503	1992	2751
504	1996	2747
505	2000	2743
506	2004	2739
507	2007	2735
508	2011	2730
509	2015	2726
510	2019	2722
511	2022	2718
512	2026	2713
513	2030	2709
514	2033	2705
515	2038	2701
516	2041	2697
517	2045	2693
518	2049	2688
519	2053	2684
520	2056	2680
521	2060	2676
522	2064	2672
523	2068	2668
524	2071	2663
525	2075	2659
526	2079	2655
527	2082	2650
528	2086	2646
529	2090	2643
530	2094	2639
531	2098	2634
532	2102	2630
533	2105	2626
534	2109	2622
535	2113	2617
536	2116	2613
537	2120	2609
538	2124	2605
539	2128	2601
540	2131	2596
541	2135	2592
542	2139	2588
543	2143	2584
544	2146	2580
545	2150	2576
546	2154	2571
547	2158	2567
548	2161	2563
549	2165	2559
550	2169	2555
551	2173	2551
552	2177	2547
553	2180	2542
554	2184	2538
555	2189	2535
556	2193	2531
557	2197	2527
558	2200	2523
559	2204	2519
560	2208	2515
561	2212	2511
562	2216	2507
563	2219	2503
564	2223	2498
565	2227	2494
566	2230	2490
567	2234	2486
568	2238	2482
569	2242	2478
570	2245	2473
571	2249	2469
572	2253	2465
573	2257	2461
574	2260	2457
575	2264	2453
576	2268	2449
577	2272	2445
578	2276	2441
579	2279	2436
580	2283	2432
581	2287	2428
582	2290	2424
583	2294	2420
584	2298	2416
585	2301	2411
586	2305	2407
587	2309	2403
588	2313	2399
589	2316	2395
590	2320	2391
591	2324	2387
592	2328	2383
593	2331	2379
594	2335	2374
595	2339	2370
596	2343	2366
597	2346	2362
598	2350	2358
599	2354	2354
600	2358	2350
601	2361	2346
602	2366	2343
603	2370	2338
604	2374	2334
605	2377	2330
606	2381	2326
607	2385	2322
608	2389	2318
609	2393	2314
610	2396	2310
611	2400	2306
612	2404	2302
613	2408	2298
614	2411	2294
615	2415	2290
616	2419	2285
617	2423	2281
618	2426	2277
619	2430	2273
620	2434	2269
621	2438	2265
622	2441	2261
623	2445	2257
624	2449	2253
625	2453	2249
626	2457	2245
627	2460	2241
628	2464	2237
629	2468	2233
630	2472	2229
631	2475	2225
632	2479	2221
633	2483	2217
634	2487	2212
635	2490	2208
636	2494	2204
637	2498	2200
638	2502	2196
639	2505	2192
640	2509	2188
641	2513	2184
642	2517	2180
643	2520	2176
644	2524	2172
645	2528	2168
646	2532	2164
647	2536	2160
648	2539	2156
649	2543	2152
650	2547	2148
651	2551	2144
652	2555	2140
653	2558	2136
654	2562	2132
655	2566	2128
656	2569	2123
657	2573	2119
658	2577	2115
659	2581	2111
660	2584	2107
661	2589	2104
662	2592	2100
663	2596	2096
664	2600	2092
665	2604	2088
666	2607	2084
667	2611	2080
668	2615	2075
669	2619	2072
670	2623	2068
671	2627	2064
672	2630	2060
673	2634	2056
674	2638	2052
675	2642	2047
676	2645	2043
677	2649	2039
678	2653	2035
679	2656	2031
680	2660	2027
681	2664	2023
682	2667	2019
683	2671	2015
684	2675	2011
685	2679	2007
686	2682	2003
687	2686	1999
688	2690	1995
689	2694	1991
690	2697	1987
691	2701	1983
692	2705	1979
693	2709	1975
694	2712	1971
695	2716	1967
696	2720	1963
697	2724	1959
698	2727	1955
699	2731	1951
700	2735	1947
701	2739	1943
702	2742	1939
703	2746	1934
704	2750	1930
705	2753	1926
706	2757	1922
707	2761	1918
708	2765	1914
709	2768	1910
710	2772	1906
711	2776	1902
712	2780	1898
713	2783	1894
714	2787	1890
715	2791	1886
716	2794	1882
717	2798	1878
718	2802	1874
719	2806	1870
720	2809	1866
721	2813	1862
722	2817	1858
723	2821	1854
724	2824	1850
725	2829	1847
726	2832	1843
727	2836	1839
728	2840	1835
729	2844	1831
730	2847	1827
731	2851	1823
732	2855	1819
733	2859	1815
734	2862	1811
735	2866	1807
736	2870	1803
737	2874	1799
738	2877	1795
739	2881	1791
740	2885	1787
741	2888	1783
742	2892	1779
743	2896	1775
744	2900	1771
745	2904	1767
746	2908	1763
747	2911	1759
748	2915	1755
749	2919	1751
750	2923	1747
751	2927	1743
752	2931	1739
753	2934	1736
754	2938	1732
755	2942	1728
756	2946	1724
757	2949	1720
758	2953	1716
759	2957	1712
760	2961	1708
761	2965	1704
762	2968	1700
763	2972	1696
764	2977	1692
765	2981	1689
766	2984	1685
767	2988	1681
768	2992	1677
769	2995	1673
770	3000	1669
771	3004	1665
772	3007	1661
773	3011	1657
774	3015	1653
775	3019	1649
776	3022	1645
777	3026	1641
778	3030	1637
779	3033	1633
780	3037	1629
781	3041	1625
782	3045	1621
783	3048	1617
784	3052	1613
785	3056	1609
786	3060	1605
787	3063	1601
788	3067	1597
789	3071	1593
790	3075	1590
791	3078	1586
792	3082	1582
793	3086	1578
794	3089	1574
795	3093	1570
796	3097	1566
797	3101	1562
798	3105	1558
799	3108	1554
800	3112	1550
801	3116	1546
802	3119	1542
803	3123	1538
804	3127	1534
805	3131	1530
806	3134	1526
807	3138	1522
808	3142	1518
809	3146	1514
810	3149	1510
811	3153	1506
812	3157	1502
813	3161	1498
814	3164	1494
815	3168	1490
816	3172	1486
817	3175	1482
818	3179	1479
819	3183	1475
820	3187	1471
821	3190	1467
822	3194	1463
823	3198	1459
824	3202	1455
825	3206	1451
826	3210	1448
827	3214	1444
828	3218	1440
829	3221	1436
830	3225	1432
831	3229	1428
832	3232	1424
833	3236	1420
834	3240	1416
835	3243	1412
836	3247	1408
837	3251	1404
838	3254	1400
839	3258	1396
840	3262	1392
841	3266	1388
842	3269	1384
843	3273	1380
844	3277	1376
845	3281	1372
846	3284	1368
847	3288	1365
848	3292	1361
849	3295	1357
850	3299	1353
851	3304	1349
852	3308	1345
853	3312	1341
854	3315	1337
855	3319	1334
856	3323	1330
857	3327	1326
858	3330	1322
859	3334	1318
860	3338	1314
861	3341	1310
862	3345	1306
863	3349	1302
864	3353	1298
865	3356	1294
866	3360	1290
867	3364	1286
868	3368	1282
869	3372	1279
870	3375	1275
871	3379	1271
872	3383	1267
873	3387	1263
874	3391	1259
875	3395	1255
876	3399	1251
877	3402	1247
878	3406	1244
879	3410	1240
880	3414	1236
881	3418	1232
882	3421	1228
883	3425	1224
884	3429	1220
885	3433	1216
886	3436	1212
887	3440	1208
888	3444	1204
889	3448	1200
890	3451	1197
891	3455	1193
892	3459	1189
893	3463	1185
894	3466	1181
895	3470	1177
896	3474	1173
897	3478	1169
898	3482	1165
899	3486	1162
900	3489	1158
901	3493	1154
902	3497	1150
903	3500	1146
904	3504	1142
905	3508	1138
906	3511	1134
907	3515	1130
908	3519	1126
909	3523	1122
910	3527	1119
911	3531	1115
912	3535	1111
913	3538	1107
914	3542	1103
915	3546	1099
916	3549	1095
917	3553	1091
918	3557	1087
919	3561	1083
